City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
278,solnechnyy,98,RU,1556678622,30,50.72,136.64,65.74,8.57
279,batagay-alyta,0,RU,1556678622,79,67.8,130.41,10.59,5.28
280,varhaug,90,NO,1556678419,93,58.61,5.65,45.0,6.93
281,talcahuano,0,CL,1556676000,81,-36.72,-73.12,51.8,8.05
282,ginda,40,IN,1556674200,33,30.69,78.49,86.0,12.75
283,oktyabrskiy,0,RU,1556678422,54,55.61,37.97,44.01,2.24
284,skorodnoye,90,RU,1556676000,100,51.07,37.24,39.2,15.66
285,bonavista,5,CA,1556677816,76,48.65,-53.11,30.99,21.0
286,kota belud,75,MY,1556678416,74,6.35,116.43,87.8,3.36
287,debre tabor,1,ET,1556678625,56,11.86,38.01,65.71,1.43
288,noumea,75,NC,1556676000,69,-22.28,166.46,77.0,18.34
289,anadyr,90,RU,1556678587,94,64.73,177.51,33.8,22.37
290,ust-ilimsk,47,RU,1556678626,57,57.96,102.73,60.18,10.56
291,lubango,25,AO,1556678626,48,-14.92,13.49,71.41,4.5
292,constitucion,5,MX,1556675340,12,23.99,-104.67,73.4,12.75
293,itacoatiara,88,BR,1556678525,95,-3.14,-58.44,75.19,1.86
294,port macquarie,75,AU,1556678404,60,-31.43,152.91,75.0,6.93
295,sangar,88,RU,1556678627,51,63.92,127.47,36.35,17.07
296,celestun,6,MX,1556678627,67,20.87,-90.4,84.09,16.6
297,souillac,0,FR,1556678529,81,45.6,-0.6,50.0,2.24
298,tolaga bay,81,NZ,1556678628,70,-38.37,178.3,54.94,8.52
299,skovorodino,0,RU,1556678629,23,53.99,123.94,50.97,5.73
300,bathsheba,20,BB,1556676000,78,13.22,-59.52,80.6,20.8
301,hofn,79,IS,1556678629,99,64.25,-15.21,37.12,2.68
302,vila velha,40,BR,1556677691,88,-3.71,-38.6,78.8,2.51
303,umm lajj,0,SA,1556678630,57,25.02,37.27,80.88,8.81
304,pyay,15,MM,1556678555,39,18.82,95.22,95.86,4.52
305,lincoln,75,GB,1556678465,93,53.23,-0.54,48.99,2.24
306,kadrina,0,EE,1556678631,64,59.34,26.14,37.2,4.74
307,dingle,40,PH,1556678631,45,11.0,122.67,92.74,5.37
308,giyani,0,ZA,1556678631,74,-23.32,30.73,61.84,2.55
309,ariogala,0,LT,1556675400,52,55.26,23.48,41.0,3.36
310,ostersund,100,SE,1556677527,74,63.18,14.64,37.99,20.8
311,airai,100,TL,1556678632,63,-8.93,125.41,84.36,5.28
312,tezu,99,IN,1556678632,73,27.93,96.16,68.26,4.29
313,baykit,94,RU,1556678633,86,61.68,96.39,29.06,4.18
314,sobinka,0,RU,1556678633,64,55.99,40.02,36.98,4.99
315,mao,40,DO,1556678428,78,19.55,-71.08,79.0,11.41
316,vila franca do campo,75,PT,1556678598,82,37.72,-25.43,57.2,10.29
317,belaya gora,97,RU,1556678634,85,68.54,146.19,25.12,4.94
318,wanning,40,AT,1556678632,93,48.64,13.53,45.0,10.29
319,coquimbo,0,CL,1556677952,87,-29.95,-71.34,68.0,4.7
320,ewa beach,40,US,1556678498,54,21.32,-158.01,82.4,8.05
321,yumen,10,CN,1556678635,18,40.29,97.04,67.04,24.83
322,leningradskiy,12,RU,1556678635,98,69.38,178.42,34.12,14.23
